Datum	Customer	Country	Catalog Number	Catalog Name	Quantity	Price	Total	Currency_ID	Subsidiary
01.12.14	MDC Max Delbrück, B•R1x	GERMANY	M0491G	Q5® High-Fidelity DNA Polymerase, Sample	1	0	0	20	New England Biolabs Germany
01.12.14	Klinikum, HD	GERMANY	M0242L	T4 RNA Ligase 2, truncated	2	208	416	20	New England Biolabs Germany
01.12.14	Klinikum, HD	GERMANY	R0199S	BssHII, recombinant	2	49,6	99,2	20	New England Biolabs Germany
01.12.14	DKFZ, HD •R1x	GERMANY	E7370L	NEBNext® Ultra DNA Library Prep Kit for Illumina®	1	2225	2225	20	New England Biolabs Germany
01.12.14	VWR, Bruchsal	GERMANY	E8021S	Amylose Resin	1	130,5	130,5	20	New England Biolabs Germany
01.12.14	MPI Biophysik, F	GERMANY	C3019H	NEB 10-beta Competent E. coli (High Efficiency)	2	163,8	327,6	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	N3237S	Mass DNA Ladder	1	45	45	20	New England Biolabs Germany
01.12.14	Georg Speyer Haus, F	GERMANY	M0263S	T7 Exonuclease	1	48	48	20	New England Biolabs Germany
01.12.14	Georg Speyer Haus, F	GERMANY	R0575S	BsrGI, recombinant	1	51,2	51,2	20	New England Biolabs Germany
01.12.14	Georg Speyer Haus, F	GERMANY	R0198S	MluI, recombinant	1	49,6	49,6	20	New England Biolabs Germany
01.12.14	Klinikum, HD	GERMANY	C3019H	NEB 10-beta Competent E. coli (High Efficiency)	1	164	164	20	New England Biolabs Germany
01.12.14	Klinikum, HD	GERMANY	M0480L	OneTaq® DNA Polymerase	1	121,6	121,6	20	New England Biolabs Germany
01.12.14	Klinikum, HD	GERMANY	M0297S	RNase H, recombinant	1	52,8	52,8	20	New England Biolabs Germany
01.12.14	Klinikum, HD	GERMANY	R3189S	NotI-HF®	1	56	56	20	New England Biolabs Germany
01.12.14	Klinikum, HD	GERMANY	R3642S	SbfI-HF®	1	54,4	54,4	20	New England Biolabs Germany
01.12.14	Klinikum, HD	GERMANY	R3133S	SpeI-HF®	1	49,6	49,6	20	New England Biolabs Germany
01.12.14	Klinikum, F	GERMANY	R0111S	NdeI, recombinant	1	49,6	49,6	20	New England Biolabs Germany
01.12.14	MPI Mol. Zellbio., DD•R1x	GERMANY	R0594S	BstZ17I	1	51,48	51,48	20	New England Biolabs Germany
01.12.14	MPI f. terrestr. Mikrobio., MR	GERMANY	E2611L	Gibson Assembly® Master Mix	1	489,84	489,84	20	New England Biolabs Germany
01.12.14	LMU Biologie II, Martinsried	GERMANY	M0491S	Q5® High-Fidelity DNA Polymerase	2	67,5	135	20	New England Biolabs Germany
01.12.14	LMU Biologie II, Martinsried	GERMANY	M0303L	DNase I (RNase-Free)	1	244,8	244,8	20	New England Biolabs Germany
01.12.14	LMU Klinikum Apotheke, M•	GERMANY	M0348S	NEBNext® dsDNA Fragmentase®	1	88,2	88,2	20	New England Biolabs Germany
01.12.14	Baliopharm, Jülich	GERMANY	R0144S	BglII, recombinant	1	58	58	20	New England Biolabs Germany
01.12.14	UniKI Botanik, KI	GERMANY	P7702S	Protein Marker, Broad Range, premixed	2	61,2	122,4	20	New England Biolabs Germany
01.12.14	UniFR Reagenzien, FR •R1x	GERMANY	R0145L	XbaI, recombinant	1	204	204	20	New England Biolabs Germany
01.12.14	UniFR Reagenzien, FR •R1x	GERMANY	R0180L	XmaI, recombinant	1	204	204	20	New England Biolabs Germany
01.12.14	UniFR Reagenzien, FR •R1x	GERMANY	E2611S	Gibson Assembly® Master Mix	1	121,6	121,6	20	New England Biolabs Germany
01.12.14	Fisher-Sanofi, Schwerte•R1x	GERMANY	N3019L	Lambda DNA Mono Cut Mix	1	226,8	226,8	20	New England Biolabs Germany
01.12.14	MPI Biochemie, Martinsried• aLambach/vor	GERMANY	M0492L	Q5® High-Fidelity 2X Master Mix	2	455	910	20	New England Biolabs Germany
01.12.14	MPI Mol. Zellbio., DD•R1x	GERMANY	R0144S	BglII, recombinant	1	45,24	45,24	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	M0212S	DNA Pol. Lg. Fragm. exo-	1	35,4	35,4	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	M0289L	Antarctic Phosphatase	1	148,8	148,8	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	M0290S	Alkaline Phosphatase (CIP)	1	38,4	38,4	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	M0491S	Q5® High-Fidelity DNA Polymerase	1	49,5	49,5	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	M0530L	Phusion® High-Fidelity DNA Polymerase	1	239,4	239,4	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	M5505L	USER™ Enzyme, recombinant	1	158,4	158,4	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	P8107S	Proteinase K, Molecular Biology Grade	1	40,8	40,8	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	R0104S	HindIII, recombinant	1	26,95	26,95	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	R0509S	PflMI, recombinant	1	34,1	34,1	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	R0561S	SfcI, recombinant	1	34,1	34,1	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	R0655L	PciI, recombinant	1	149,6	149,6	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	R3133S	SpeI-HF®	1	34,1	34,1	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	R3136S	BamHI-HF®	1	26,95	26,95	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	R3189S	NotI-HF®	1	38,5	38,5	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	M0531S	Phusion® High-Fidelity PCR Master Mix with HF Buffer	1	90	90	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	N3200S	2-Log DNA Ladder (0.1-10.0 kb)	1	29,4	29,4	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	N3237S	Mass DNA Ladder	1	45	45	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	R0106S	MspI, recombinant	1	31,9	31,9	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	R0180S	XmaI, recombinant	1	37,4	37,4	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	R0182L	SphI, recombinant	1	136,4	136,4	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	R0642L	SbfI, recombinant	1	149,6	149,6	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	R0655S	PciI, recombinant	1	37,4	37,4	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	M0530L	Phusion® High-Fidelity DNA Polymerase	1	239,4	239,4	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	M0480S	OneTaq® DNA Polymerase	1	19	19	20	New England Biolabs Germany
01.12.14	Dis Norway	NORWAY	P7711S	ColorPlus™ Prestained Protein Ladder (10-230 kDa)	1	57	57	20	New England Biolabs Germany
01.12.14	UKE /Klinik, HH	GERMANY	R0145M	XbaI, recombinant, conc.	1	217,6	217,6	20	New England Biolabs Germany
01.12.14	UKE /Klinik, HH	GERMANY	R0176S	DpnI, recombinant	1	49,6	49,6	20	New England Biolabs Germany
01.12.14	KRDI, Klinikum Rechts d. Isar, M•	GERMANY	R0136L	BamHI, recombinant	1	176,4	176,4	20	New England Biolabs Germany
01.12.14	KRDI, Klinikum Rechts d. Isar, M•	GERMANY	N0472S	Supercoiled DNA Ladder	1	93,6	93,6	20	New England Biolabs Germany
01.12.14	KRDI, Klinikum Rechts d. Isar, M•	GERMANY	M2200S	Quick Ligation™ Kit	1	89,1	89,1	20	New England Biolabs Germany
01.12.14	KRDI, Klinikum Rechts d. Isar, M•	GERMANY	B0202S	NEBuffer Pack for T4 DNA Ligase (#M0202)	1	16,2	16,2	20	New England Biolabs Germany
01.12.14	KRDI, Klinikum Rechts d. Isar, M•	GERMANY	M0201S	T4 Polynucleotide Kinase (PNK)	1	52,2	52,2	20	New England Biolabs Germany
01.12.14	UniOS, OS  	GERMANY	P7708S	Prestained Protein Marker, Broad Range, premixed	1	86,4	86,4	20	New England Biolabs Germany
01.12.14	UniOS, OS  	GERMANY	R3162S	BstEII-HF®	1	50,4	50,4	20	New England Biolabs Germany
01.12.14	IPK, Gatersleben	GERMANY	E2611S	Gibson Assembly® Master Mix	1	141,3	141,3	20	New England Biolabs Germany
01.12.14	Roche, MA •R1x	GERMANY	B7204S	CutSmart Buffer	10	15,3	153	20	New England Biolabs Germany
01.12.14	Roche, MA •R1x	GERMANY	R3131L	NheI-HF®	10	217,6	2176	20	New England Biolabs Germany
01.12.14	Kinderklinik, Freezer Ob. Zahlb., MZ	GERMANY	R3189S	NotI-HF®	1	59,5	59,5	20	New England Biolabs Germany
01.12.14	Kinderklinik, Freezer Ob. Zahlb., MZ	GERMANY	M0210S	DNA Pol. Lg. Fragm. (Klenow)	1	49,3	49,3	20	New England Biolabs Germany
01.12.14	Kinderklinik, Freezer Ob. Zahlb., MZ	GERMANY	R3189S	NotI-HF®	1	59,5	59,5	20	New England Biolabs Germany
01.12.14	Kinderklinik, Freezer Ob. Zahlb., MZ	GERMANY	R0197S	ClaI, recombinant	1	52,7	52,7	20	New England Biolabs Germany
01.12.14	Kinderklinik, Freezer Ob. Zahlb., MZ	GERMANY	R0514S	AlwNI, recombinant	1	54,4	54,4	20	New England Biolabs Germany
01.12.14	Kinderklinik, Freezer Ob. Zahlb., MZ	GERMANY	P7712S	Color Protein Standard, Broad Range	2	92,65	185,3	20	New England Biolabs Germany
01.12.14	MPI Evo Anthropologie, L SAP	GERMANY	R0145S	XbaI, recombinant	1	53,04	53,04	20	New England Biolabs Germany
01.12.14	MPI Evo Anthropologie, L SAP	GERMANY	R3104S	HindIII-HF®	1	38,22	38,22	20	New England Biolabs Germany
